"Referring Page URL";"Referring Page Title";"Link URL";"Link Anchor";"Correct link";"Does not have website other link";" "
"https://childcarecenter.us/provider_detail/trails_west_preschool_school_dist_5_aurora_co";"Trails West Preschool School Dist 5 | Aurora CO Child Care Center";"http://www.cherrycreekschools.org/EarlyChildhood/Pages/default.aspx";"http://www.cherrycreekschools.org/EarlyChildhood/Pages/default.aspx";"http://earlychildhood.cherrycreekschools.org/";"http://www.cherrycreekschools.org/OurSchools/pages/ElementarySchools.aspx";
"https://childcarecenter.us/provider_detail/sunrise_preschool_aurora_co";"Sunrise Preschool | Aurora CO Child Care Center";"http://www.cherrycreekschools.org/EarlyChildhood/Pages/Locations.aspx";"http://www.cherrycreekschools.org/EarlyChildhood/Pages/Locations.aspx";"http://earlychildhood.cherrycreekschools.org/";"http://www.cherrycreekschools.org/OurSchools/pages/ElementarySchools.aspx";
"https://childcarecenter.us/provider_detail/buffalo_trail_extended_child_services_aurora_co";"Buffalo Trail Extended Child Services | Aurora CO";"http://www.cherrycreekschools.org/Schools/BuffaloTrail/ECS/Pages/default.aspx";"http://www.cherrycreekschools.org/Schools/BuffaloTrail/ECS/Pages/default.aspx";"http://earlychildhood.cherrycreekschools.org/";"http://www.cherrycreekschools.org/OurSchools/pages/ElementarySchools.aspx";
"https://childcarecenter.us/provider_detail/canyon_creek_elementary_aurora_co";"Canyon Creek Elementary | Aurora CO";"http://www.cherrycreekschools.org/Schools/CanyonCreek/Pages/default.aspx";"http://www.cherrycreekschools.org/Schools/CanyonCreek/Pages/default.aspx";"http://earlychildhood.cherrycreekschools.org/";"http://www.cherrycreekschools.org/OurSchools/pages/ElementarySchools.aspx";
"http://childcarecenter.us/provider_detail/coyote_hills_elementay_aurora_co";"COYOTE HILLS ELEMENTAY | Aurora CO School Age Child Care";"http://www.cherrycreekschools.org/Schools/CoyoteHills/Pages/default.aspx";"http://www.cherrycreekschools.org/Schools/CoyoteHills/Pages/default.aspx";"http://earlychildhood.cherrycreekschools.org/";"http://www.cherrycreekschools.org/OurSchools/pages/ElementarySchools.aspx";
"https://childcarecenter.us/provider_detail/coyote_hills_elementay_aurora_co";"COYOTE HILLS ELEMENTAY | Aurora CO School Age Child Care";"http://www.cherrycreekschools.org/Schools/CoyoteHills/Pages/default.aspx";"http://www.cherrycreekschools.org/Schools/CoyoteHills/Pages/default.aspx";"http://earlychildhood.cherrycreekschools.org/";"http://www.cherrycreekschools.org/OurSchools/pages/ElementarySchools.aspx";
"https://childcarecenter.us/provider_detail/dry_creek_early_learning_center_centennial_co";"Dry Creek Early Learning Center | Centennial CO Child Care Center";"http://www.cherrycreekschools.org/Schools/DryCreek/Pages/Dry-Creek-Early-Learning.aspx";"http://www.cherrycreekschools.org/Schools/DryCreek/Pages/Dry-Creek-Early-Learning.aspx";"http://earlychildhood.cherrycreekschools.org/";"http://www.cherrycreekschools.org/OurSchools/pages/ElementarySchools.aspx";
"https://childcarecenter.us/provider_detail/eaglecrest_high_school_child_develop_aurora_co";"EAGLECREST HIGH SCHOOL CHILD DEVELOP | Aurora CO Day Care Center";"http://www.cherrycreekschools.org/Schools/Eaglecrest/Pages/default.aspx";"http://www.cherrycreekschools.org/Schools/Eaglecrest/Pages/default.aspx";"http://earlychildhood.cherrycreekschools.org/";"http://www.cherrycreekschools.org/OurSchools/pages/ElementarySchools.aspx";
"https://childcarecenter.us/provider_detail/highline_before_and_after_school_prog_aurora_co";"Highline Before And After School Prog | Aurora CO";"http://www.cherrycreekschools.org/Schools/Highline/Pages/ExtendedChildcareServices.aspx";"http://www.cherrycreekschools.org/Schools/Highline/Pages/ExtendedChildcareServices.aspx";"http://earlychildhood.cherrycreekschools.org/";"http://www.cherrycreekschools.org/OurSchools/pages/ElementarySchools.aspx";
"https://childcarecenter.us/provider_detail/village_east_childcare_program_aurora_co";"VILLAGE EAST CHILDCARE PROGRAM | Aurora CO School Age Child Care";"http://www.cherrycreekschools.org/Schools/VillageEast/Pages/ExtendedChildcareServices.aspx";"http://www.cherrycreekschools.org/Schools/VillageEast/Pages/ExtendedChildcareServices.aspx";"http://earlychildhood.cherrycreekschools.org/";"http://www.cherrycreekschools.org/OurSchools/pages/ElementarySchools.aspx";
