"OBJECTID";"Provider OBJECTID";"Type";"Visit Date";"Label";"URL"
2631;540;"Compliance Review";"05-22-2019";"05/23/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=556178&provider_action_date_of_visit=2019-05-23"
2647;542;"Compliance Review";"12-16-2018";"12/17/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=558902&provider_action_date_of_visit=2018-12-17"
2649;542;"Compliance Review";"06-20-2017";"06/21/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=558902&provider_action_date_of_visit=2017-06-21"
2642;542;"Compliance Review";"02-23-2020";"02/24/2020";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=558902&provider_action_date_of_visit=2020-02-24"
2643;542;"Compliance Review";"02-05-2020";"02/06/2020";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=558902&provider_action_date_of_visit=2020-02-06"
2641;542;"Compliance Review";"09-21-2020";"09/22/2020";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=558902&provider_action_date_of_visit=2020-09-22"
2644;542;"Compliance Review";"12-11-2019";"12/12/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=558902&provider_action_date_of_visit=2019-12-12"
2645;542;"Compliance Review";"08-22-2019";"08/23/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=558902&provider_action_date_of_visit=2019-08-23"
2640;542;"Compliance Review";"10-05-2020";"10/06/2020";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=558902&provider_action_date_of_visit=2020-10-06"
2646;542;"Compliance Review";"07-01-2019";"07/02/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=558902&provider_action_date_of_visit=2019-07-02"
2648;542;"Compliance Review";"12-13-2017";"12/14/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=558902&provider_action_date_of_visit=2017-12-14"
2639;542;"Compliance Review";"11-01-2020";"11/02/2020";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=558902&provider_action_date_of_visit=2020-11-02"
2662;545;"Compliance Review";"02-19-2018";"02/20/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=562094&provider_action_date_of_visit=2018-02-20"
2663;545;"Compliance Review";"02-01-2016";"02/02/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=562094&provider_action_date_of_visit=2016-02-02"
2660;545;"Compliance Review";"02-11-2020";"02/12/2020";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=562094&provider_action_date_of_visit=2020-02-12"
2661;545;"Compliance Review";"02-12-2019";"02/13/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=562094&provider_action_date_of_visit=2019-02-13"
2669;547;"Compliance Review";"01-20-2020";"01/21/2020";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=564557&provider_action_date_of_visit=2020-01-21"
